GROUP 3,"11, 15,29",,,,,,,,GROUP 7,"1, 6, 29",,,
,,MOVIES,U11,U15,U29,,,AgrS: LEAST MISERY,,,U1,U6 ,U29
,0,"Dark Knight, The",4,3.861111,4.5,,,3.86,,,4,5,4.5
,1,"Lord of the Rings: The Return of the King, The",4.5,5,2.5,,,2.50,,,3.5,4,2.5
,2,"Bourne Ultimatum, The",4,5,4.5,,,4.00,,,3.5,3,4.5
,3,WALL∑E,5,4.5,4.5,,,4.50,,,1.5,2.5,4.5
,4,Finding Nemo,5,5,3,,,3.00,,,2.5,2,3
,5,"Incredibles, The",4.5,4.5,,,,4.50,,,2.5,3,
,6,Ratatouille,4.5,4,3,,,3.00,,,3.5,2,3
,7,"Monsters, Inc.",4.5,5,3.5,,,3.50,,,4,,3.5
,8,Shrek,5,5,3.5,,,3.50,,,4,3.5,3.5
,9,Schindler's List,,,4.5,,,4.50,,,5,4,4.5
,10,There's Something About Mary,4.5,3,3.5,,,3.00,,,3,4,3.5
,11,Pirates of the Caribbean: The Curse of the Black Pearl,5,4.5,3.5,,,3.50,,,2.5,4,3.5
,12,"Other Side of the Bed, The",3.5,4.5,3,,,3.00,,,3,3.5,3
,13,Pulp Fiction,4.5,,4,,,4.00,,,3.5,4.5,4
,14,Sin City,2.5,,3.5,,,2.50,,,3.5,4,3.5
,15,Bowling for Columbine,5,4,4,,,4.00,,,3.5,3.5,4
,16,Super Size Me,,,3,,,3.00,,,4.5,2.5,3
,17,City of God,,,4,,,4.00,,,3.5,,4
,18,Pan's Labyrinth,4.5,4,4,,,4.00,,,4.5,3,4
,19,Star Wars: Episode III - Revenge of the Sith,5,5,4,,,4.00,,,0.5,4,4
,20,Fantastic Four,1.5,3.5,2.5,,,1.50,,,3.5,2.5,2.5
,21,Exorcist: The Beginning,,,,,,0.00,,,3.5,,
,22,Seven,3.5,,5,,,3.50,,,4.5,4.5,5
,23,"Game, The",2.5,,3,,,2.50,,,3.5,,3
,24,Pretty Woman,3,3.5,3,,,3.00,,,4.5,3.5,3
,25,"Matrix, The",4.5,4,4.5,,,4.00,,,4,5,4.5
,26,Terminator 2: Judgment Day,3.5,,,,,3.50,,,3.5,4,
,27,X-Men,4,4.5,3.5,,,3.50,,,3,4,3.5
,28,"Sixth Sense, The",3,3.5,3.5,,,3.00,,,4,4,3.5
,29,Mission: Impossible III,,,,,,0.00,,,2.5,3,
,30,300,,,3.5,,,3.50,,,4.5,4.5,3.5
,31,Troy,2,2,2.5,,,2.00,,,3.5,3.5,2.5
,32,Transformers,,,,,,0.00,,,3.5,3,
,33,No Country for Old Men,,,3,,,3.00,,,3.5,3,3
,34,"Sea Inside, The",4.5,4.5,2.5,,,2.50,,,4,,2.5
,35,"Pianist, The",,,3.5,,,3.50,,,3.5,4,3.5
,36,Million Dollar Baby,,,3,,,3.00,,,3.5,3.5,3
